2026-01-23 13:18:37 | INFO | trace_invest.utils.logger:setup_logger:34 | Logger initialized
2026-01-23 14:51:18 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for LT.NS
2026-01-23 14:51:19 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for LT.NS. Skipping write.
2026-01-23 14:51:19 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for ASIANPAINT.NS
2026-01-23 14:51:19 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for ASIANPAINT.NS. Skipping write.
2026-01-23 14:51:19 | INFO | trace_invest.ingestion.prices:run_weekly_price_ingestion:64 | Weekly price ingestion completed
2026-01-23 14:51:19 | INFO | __main__:run_weekly_pipeline:68 | Weekly snapshot written: data\snapshots\weekly_2026-01-23.json
2026-01-23 14:51:19 | INFO | __main__:run_weekly_pipeline:69 | ===== Weekly Trace Invest run completed =====
2026-01-23 19:11:13 | INFO | trace_invest.utils.logger:setup_logger:34 | Logger initialized
2026-01-23 19:11:13 | INFO | trace_invest.utils.logger:setup_logger:34 | Logger initialized
2026-01-23 19:11:13 | INFO | trace_invest.utils.logger:setup_logger:34 | Logger initialized
2026-01-23 19:11:13 | INFO | __main__:run_weekly_pipeline:23 | ===== Weekly Trace Invest run started =====
2026-01-23 19:11:13 | INFO | trace_invest.ingestion.prices:run_weekly_price_ingestion:54 | Starting weekly price ingestion
2026-01-23 19:11:13 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for ITC.NS
2026-01-23 19:11:17 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for ITC.NS. Skipping write.
2026-01-23 19:11:17 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for HDFCBANK.NS
2026-01-23 19:11:17 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for HDFCBANK.NS. Skipping write.
2026-01-23 19:11:17 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for TCS.NS
2026-01-23 19:11:17 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for TCS.NS. Skipping write.
2026-01-23 19:11:17 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for LT.NS
2026-01-23 19:11:17 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for LT.NS. Skipping write.
2026-01-23 19:11:17 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for ASIANPAINT.NS
2026-01-23 19:11:18 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for ASIANPAINT.NS. Skipping write.
2026-01-23 19:11:18 | INFO | trace_invest.ingestion.prices:run_weekly_price_ingestion:64 | Weekly price ingestion completed
2026-01-23 19:11:18 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:15 | Fetching fundamentals for ITC.NS
2026-01-23 19:16:39 | INFO | trace_invest.utils.logger:setup_logger:34 | Logger initialized
2026-01-23 19:16:39 | INFO | trace_invest.utils.logger:setup_logger:34 | Logger initialized
2026-01-23 19:16:39 | INFO | trace_invest.utils.logger:setup_logger:34 | Logger initialized
2026-01-23 19:16:39 | INFO | __main__:run_weekly_pipeline:23 | ===== Weekly Trace Invest run started =====
2026-01-23 19:16:39 | INFO | trace_invest.ingestion.prices:run_weekly_price_ingestion:54 | Starting weekly price ingestion
2026-01-23 19:16:39 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for ITC.NS
2026-01-23 19:16:40 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for ITC.NS. Skipping write.
2026-01-23 19:16:40 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for HDFCBANK.NS
2026-01-23 19:16:40 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for HDFCBANK.NS. Skipping write.
2026-01-23 19:16:40 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for TCS.NS
2026-01-23 19:16:41 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for TCS.NS. Skipping write.
2026-01-23 19:16:41 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for LT.NS
2026-01-23 19:16:41 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for LT.NS. Skipping write.
2026-01-23 19:16:41 | INFO | trace_invest.ingestion.prices:fetch_weekly_prices:23 | Fetching weekly prices for ASIANPAINT.NS
2026-01-23 19:16:41 | WARNING | trace_invest.ingestion.prices:write_raw_prices:43 | Raw price file already exists for ASIANPAINT.NS. Skipping write.
2026-01-23 19:16:41 | INFO | trace_invest.ingestion.prices:run_weekly_price_ingestion:64 | Weekly price ingestion completed
2026-01-23 19:16:41 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for ITC.NS
2026-01-23 19:16:43 | INFO | trace_invest.ingestion.fundamentals:write_raw_fundamentals:50 | Raw fundamentals written for ITC.NS
2026-01-23 19:16:43 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for HDFCBANK.NS
2026-01-23 19:16:44 | INFO | trace_invest.ingestion.fundamentals:write_raw_fundamentals:50 | Raw fundamentals written for HDFCBANK.NS
2026-01-23 19:16:44 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for TCS.NS
2026-01-23 19:16:45 | INFO | trace_invest.ingestion.fundamentals:write_raw_fundamentals:50 | Raw fundamentals written for TCS.NS
2026-01-23 19:16:45 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for LT.NS
2026-01-23 19:16:46 | INFO | trace_invest.ingestion.fundamentals:write_raw_fundamentals:50 | Raw fundamentals written for LT.NS
2026-01-23 19:16:46 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for ASIANPAINT.NS
2026-01-23 19:16:47 | INFO | trace_invest.ingestion.fundamentals:write_raw_fundamentals:50 | Raw fundamentals written for ASIANPAINT.NS
2026-01-23 19:16:47 | INFO | __main__:run_weekly_pipeline:67 | Weekly snapshot written: data\snapshots\weekly_2026-01-23.json
2026-01-23 19:16:47 | INFO | __main__:run_weekly_pipeline:68 | ===== Weekly Trace Invest run completed =====
2026-01-23 19:35:01 | INFO | trace_invest.utils.logger:setup_logger:34 | Logger initialized
2026-01-23 19:35:02 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for ITC.NS
2026-01-23 19:35:03 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for HDFCBANK.NS
2026-01-23 19:35:04 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for TCS.NS
2026-01-23 19:35:05 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for LT.NS
2026-01-23 19:35:06 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for ASIANPAINT.NS
2026-01-23 19:35:45 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for ITC.NS
2026-01-23 19:35:46 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for HDFCBANK.NS
2026-01-23 19:35:46 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for TCS.NS
2026-01-23 19:35:47 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for LT.NS
2026-01-23 19:35:47 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for ASIANPAINT.NS
2026-01-23 19:36:11 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for ITC.NS
2026-01-23 19:36:12 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for HDFCBANK.NS
2026-01-23 19:36:12 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for TCS.NS
2026-01-23 19:36:12 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for LT.NS
2026-01-23 19:36:13 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for ASIANPAINT.NS
2026-01-23 19:37:31 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for ITC.NS
2026-01-23 19:37:32 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for HDFCBANK.NS
2026-01-23 19:37:32 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for TCS.NS
2026-01-23 19:37:33 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for LT.NS
2026-01-23 19:37:33 | INFO | trace_invest.ingestion.fundamentals:fetch_fundamentals:28 | Fetching fundamentals for ASIANPAINT.NS
